NOMBDEPTO,NOMBLOC,POBLACION,CANT_FARMACIAS
LAVALLEJA,SOLIS DE MATAOJO,2825.0,1
LAVALLEJA,PIRARAJA,713.0,0
LAVALLEJA,ZAPICAN,553.0,0
LAVALLEJA,COLON,180.0,0
LAVALLEJA,ARAMENDIA,96.0,0
LAVALLEJA,RURAL,6070.0,12
LAVALLEJA,BLANES VIALE,104.0,0
LAVALLEJA,19 DE JUNIO,55.0,0
LAVALLEJA,ESTACION SOLIS,55.0,0
LAVALLEJA,GAETAN,49.0,0
LAVALLEJA,POLANCO NORTE,87.0,0
LAVALLEJA,VILLA DEL ROSARIO,149.0,0
LAVALLEJA,VILLA SERRANA,89.0,0
LAVALLEJA,BARRIO LA CORONILLA - ANCAP,301.0,0
LAVALLEJA,SAN FRANCISCO DE LAS SIERRAS,58.0,0
LAVALLEJA,ILLESCAS,38.0,0
MALDONADO,MALDONADO,62590.0,15
MALDONADO,SAN CARLOS,27471.0,5
MALDONADO,AIGUA,2465.0,1
MALDONADO,PAN DE AZUCAR,6597.0,2
MALDONADO,PIRIAPOLIS,8830.0,4
MALDONADO,PUNTA DEL ESTE,9277.0,20
MALDONADO,CERRO PELADO,8177.0,0
MALDONADO,GARZON,198.0,0
MALDONADO,GERONA,679.0,0
MALDONADO,LAS FLORES - ESTACION,397.0,0
MALDONADO,LOS TALAS,124.0,0
MALDONADO,NUEVA CARRARA,156.0,0
MALDONADO,SOLIS,288.0,1
MALDONADO,PUEBLO SOLIS,61.0,0
MALDONADO,PINARES - LAS DELICIAS,9819.0,13
MALDONADO,CHIHUAHUA,37.0,0
MALDONADO,VILLA DELIA,1703.0,0
MALDONADO,SAN RAFAEL - EL PLACER,3146.0,2
MALDONADO,RURAL,5159.0,20
MALDONADO,BARRIO HIPODROMO,1973.0,0
MALDONADO,LOS AROMOS,956.0,0
MALDONADO,BELLA VISTA,141.0,1
MALDONADO,CANTERAS DE MARELLI,200.0,0
MALDONADO,CERROS AZULES,293.0,0
MALDONADO,EL CHORRO,392.0,1
MALDONADO,EL EDEN,85.0,0
MALDONADO,EL TESORO,1396.0,1
MALDONADO,FARO JOSE IGNACIO,292.0,0
MALDONADO,GREGORIO AZNAREZ,944.0,0
MALDONADO,LA BARRA,339.0,1
MALDONADO,LA CAPUERA,2838.0,0
MALDONADO,LAS FLORES,241.0,1
MALDONADO,MANANTIALES,149.0,1
MALDONADO,OCEAN PARK,234.0,0
MALDONADO,PLAYA GRANDE,1031.0,0
MALDONADO,PLAYA HERMOSA,611.0,0
MALDONADO,PLAYA VERDE,269.0,1
MALDONADO,PUNTA BALLENA,750.0,2
MALDONADO,PUNTA COLORADA,92.0,0
MALDONADO,PUNTA NEGRA,178.0,0
MALDONADO,RUTA 37 Y 9,62.0,2
MALDONADO,SAUCE DE PORTEZUELO,128.0,0
MALDONADO,SAN VICENTE,4.0,0
MALDONADO,BALNEARIO BUENOS AIRES,1551.0,1
MALDONADO,LAS CUMBRES,14.0,0
MALDONADO,LOS CORCHOS,24.0,0
MALDONADO,SANTA MONICA,111.0,0
MALDONADO,EDEN ROCK,8.0,0
MALDONADO,PARQUE MEDINA,204.0,0
MALDONADO,ARENAS DE JOSE IGNACIO,38.0,0
MALDONADO,LA SONRISA,1562.0,2
MALDONADO,EL QUIJOTE,10.0,0
MALDONADO,LAGUNA BLANCA,4.0,1
PAYSANDU,PAYSANDU,76412.0,12
PAYSANDU,GUICHON,5039.0,2
PAYSANDU,NUEVO PAYSANDU,8578.0,0
PAYSANDU,QUEBRACHO,2853.0,0
PAYSANDU,TAMBORES,1111.0,0
PAYSANDU,LORENZO GEYRES,774.0,0
PAYSANDU,MERINOS,528.0,0
PAYSANDU,PORVENIR,1159.0,0
PAYSANDU,ARBOLITO,115.0,0
PAYSANDU,BEISSO,399.0,0
PAYSANDU,CASABLANCA,343.0,0
PAYSANDU,CERRO CHATO,333.0,0
PAYSANDU,CONSTANCIA,331.0,0
PAYSANDU,MORATO,218.0,0
PAYSANDU,PIEDRAS COLORADAS,1094.0,0
PAYSANDU,PIÑERA,112.0,0
PAYSANDU,SAN FELIX,1718.0,0
PAYSANDU,VILLA MARIA (TIATUCURA),49.0,0
PAYSANDU,PIEDRA SOLA,122.0,0
PAYSANDU,RURAL,4364.0,3
PAYSANDU,ARAUJO,34.0,0
PAYSANDU,BELLA VISTA,50.0,0
PAYSANDU,CAÑADA DEL PUEBLO,186.0,0
PAYSANDU,CHAPICUY,735.0,0
PAYSANDU,EL EUCALIPTUS,197.0,0
PAYSANDU,ESPERANZA,340.0,0
PAYSANDU,PUEBLO FEDERACION,20.0,0
PAYSANDU,LA TENTACION,137.0,0
PAYSANDU,ORGOROSO,583.0,0
PAYSANDU,CUCHILLA DE BURICAYUPI,14.0,0
PAYSANDU,SOTO,43.0,0
PAYSANDU,ZEBALLOS,81.0,0
PAYSANDU,CHACRAS DE PAYSANDU,3965.0,0
PAYSANDU,GALLINAL,700.0,0
PAYSANDU,PUNTAS DE ARROYO NEGRO,42.0,0
PAYSANDU,ESTACION PORVENIR,137.0,0
PAYSANDU,CUCHILLA DE FUEGO,11.0,0
PAYSANDU,PUEBLO ALONZO,1.0,0
PAYSANDU,QUEGUAYAR,135.0,0
PAYSANDU,TERMAS DE GUAVIYU,38.0,1
PAYSANDU,TERMAS DE ALMIRON,6.0,0
RIO NEGRO,FRAY BENTOS,24406.0,5
RIO NEGRO,YOUNG,16756.0,6
RIO NEGRO,NUEVO BERLIN,2450.0,0
RIO NEGRO,SAN JAVIER,1781.0,1
RIO NEGRO,BARRIO ANGLO,785.0,2
RIO NEGRO,GRECCO,598.0,0
RIO NEGRO,MERINOS,4.0,0
RIO NEGRO,ALGORTA,779.0,0
RIO NEGRO,EL OMBU,53.0,0
RIO NEGRO,PASO DE LOS MELLIZOS,312.0,0
RIO NEGRO,SARANDI DE NAVARRO,239.0,0
RIO NEGRO,VILLA GENERAL BORGES,362.0,0
RIO NEGRO,VILLA MARIA,132.0,0
RIO NEGRO,LAS CAÑAS,177.0,0
RIO NEGRO,RURAL,5212.0,13
RIO NEGRO,BELLACO,283.0,0
RIO NEGRO,LOS ARRAYANES,248.0,0
RIO NEGRO,MENAFRA,39.0,0
RIO NEGRO,TRES QUINTAS,149.0,0
RIVERA,RIVERA,64465.0,5
RIVERA,MINAS DE CORRALES,3788.0,2
RIVERA,TRANQUERAS,7235.0,3
RIVERA,VICHADERO,3698.0,2
RIVERA,SANTA TERESA,2657.0,0
RIVERA,ARROYO BLANCO,97.0,0
RIVERA,PASO ATAQUES,107.0,0
RIVERA,CERRO PELADO,128.0,0
RIVERA,PASO HOSPITAL,295.0,0
RIVERA,LAPUENTE,321.0,0
RIVERA,LAS FLORES,359.0,0
RIVERA,MOIRONES,211.0,0
RIVERA,LA PEDRERA,3363.0,0
RIVERA,MANDUBI,6019.0,0
RIVERA,LAGUNON,2376.0,0
RIVERA,RURAL,7602.0,7
RIVERA,AMARILLO,20.0,0
RIVERA,CERRILLADA,113.0,0
RIVERA,CERROS DE LA CALERA,88.0,0
RIVERA,LAGOS DEL NORTE,291.0,0
RIVERA,MASOLLER,240.0,0
ROCHA,ROCHA,25422.0,4
ROCHA,CASTILLOS,7541.0,4
ROCHA,LASCANO,7645.0,3
ROCHA,CHUY,9675.0,3
ROCHA,CEBOLLATI,1609.0,0
ROCHA,VELAZQUEZ,1022.0,1
ROCHA,18 DE JULIO,977.0,0
ROCHA,LA PALOMA,3495.0,2
ROCHA,SAN LUIS AL MEDIO,598.0,0
ROCHA,LA AGUADA Y COSTA AZUL,1090.0,0
ROCHA,19 DE ABRIL,205.0,0
ROCHA,LA CORONILLA,510.0,0
ROCHA,BARRIO PEREIRA,186.0,0
ROCHA,RURAL,4146.0,14
ROCHA,AGUAS DULCES,417.0,0
ROCHA,BARRA DEL CHUY,370.0,0
ROCHA,BARRIO TORRES,83.0,0
ROCHA,CABO POLONIO,95.0,0
ROCHA,CAPACHO,457.0,0
ROCHA,BARRA DE VALIZAS,330.0,0
ROCHA,LA ESMERALDA,57.0,0
ROCHA,LA PEDRERA,225.0,1
ROCHA,PARALLE,16.0,0
ROCHA,PUERTO DE LOS BOTES,21.0,0
ROCHA,PUIMAYEN,505.0,0
ROCHA,ARACHANIA,377.0,0
ROCHA,PTA. RUBIA Y STA. ISABEL DE LA PEDRERA,94.0,1
ROCHA,PUNTA DEL DIABLO,823.0,1
ROCHA,PALMARES DE LA CORONILLA,10.0,0
ROCHA,LA RIBIERA,30.0,0
ROCHA,PUENTE VALIZAS,32.0,0
ROCHA,OCEANIA DEL POLONIO,7.0,0
ROCHA,PUEBLO NUEVO,10.0,0
ROCHA,TAJAMARES DE LA PEDRERA,2.0,0
ROCHA,SAN ANTONIO,6.0,0
SALTO,SALTO,104011.0,12
SALTO,BELEN,1926.0,0
SALTO,CONSTITUCION,2762.0,0
SALTO,FERNANDEZ,305.0,0
SALTO,SAN ANTONIO,877.0,0
SALTO,CHACRAS DE BELEN,296.0,0
SALTO,ALBISU,544.0,0
SALTO,BIASSINI,345.0,0
SALTO,CAMPO DE TODOS,212.0,0
SALTO,CAYETANO,39.0,0
SALTO,CUCHILLA DE GUAVIYU,138.0,0
SALTO,TERMAS DEL DAYMAN,356.0,0
SALTO,PALOMAS,88.0,0
SALTO,PASO DEL PARQUE DEL DAYMAN,54.0,0
SALTO,QUINTANA,67.0,0
SALTO,SARANDI DE ARAPEY,210.0,0
SALTO,SAUCEDO,270.0,0
SALTO,RURAL,7849.0,2
SALTO,ARENITAS BLANCAS,155.0,0
SALTO,CELESTE,83.0,0
SALTO,CERROS DE VERA,160.0,0
SALTO,GARIBALDI,354.0,0
SALTO,TERMAS DEL ARAPEY,184.0,0
SALTO,LAS FLORES,124.0,0
SALTO,LAURELES,120.0,0
SALTO,LLUVERAS,223.0,0
SALTO,MIGLIARO,733.0,0
SALTO,OLIVERA,145.0,0
SALTO,PASO DE LAS PIEDRAS DE ARERUNGUA,64.0,0
SALTO,PUNTAS DE VALENTIN,171.0,0
SALTO,RINCON DE VALENTIN,481.0,0
SALTO,COLONIA 18 DE JULIO,750.0,0
SALTO,PARQUE JOSE LUIS,19.0,0
SALTO,COLONIA ITAPEBI,460.0,0
SALTO,GUAVIYU DE ARAPEY,101.0,0
SALTO,RUSSO,30.0,0
SALTO,PASO CEMENTERIO,88.0,0
SALTO,OSIMANI Y LLERENA,67.0,0
SAN JOSE,SAN JOSE DE MAYO,36743.0,7
SAN JOSE,LIBERTAD,10166.0,4
SAN JOSE,DELTA DEL TIGRE Y VILLAS,20239.0,2
SAN JOSE,RODRIGUEZ,2604.0,1
SAN JOSE,ITUZAINGO,771.0,0
SAN JOSE,SANTA MONICA,1662.0,1
SAN JOSE,PUNTAS DE VALDEZ,1491.0,0
SAN JOSE,GONZALEZ,222.0,0
SAN JOSE,MAL ABRIGO,344.0,0
SAN JOSE,PLAYA PASCUAL,6870.0,1
SAN JOSE,18 DE JULIO (PUEBLO NUEVO),469.0,0
SAN JOSE,RAFAEL PERAZA,1277.0,2
SAN JOSE,RAIGON,738.0,0
SAN JOSE,SAFICI (PARQUE POSTEL),1087.0,0
SAN JOSE,RURAL,16471.0,13
SAN JOSE,JUAN SOLER,343.0,0
SAN JOSE,BOCA DEL CUFRE,28.0,0
SAN JOSE,CAPURRO,517.0,0
SAN JOSE,VILLA MARIA,620.0,0
SAN JOSE,ECILDA PAULLIER,2585.0,2
SAN JOSE,KIYU-ORDEIG,423.0,1
SAN JOSE,LA BOYADA,61.0,0
SAN JOSE,CAÑADA GRANDE,59.0,0
SAN JOSE,RINCON DEL PINO,162.0,0
SAN JOSE,SAN GREGORIO,35.0,0
SAN JOSE,SCAVINO,183.0,0
SAN JOSE,MONTE GRANDE,1287.0,0
